Nombre;Últ.;% Dif.;Máx.;Mín.;Volumen;Efectivo (miles €);Fecha;Hora
ACCIONA;74,4000;-0,13;74,6800;73,8000;34.894;2.591,56;29/10/2018;16:19
ACERINOX;10,1000;-0,79;10,2900;9,6740;2.053.599;20.560,00;29/10/2018;16:19
ACS;33,3500;4,15;33,5100;31,8800;373.261;12.352,74;29/10/2018;16:19
AENA;139,5500;-0,14;141,4500;139,3500;55.847;7.856,84;29/10/2018;16:19
AMADEUS;70,2000;-1,10;71,9400;70,1600;334.626;23.828,51;29/10/2018;16:19
ARCELORMIT.;22,1450;4,14;22,4500;21,3200;390.920;8.585,42;29/10/2018;16:19
BA.SABADELL;1,1005;1,34;1,1080;1,0840;24.917.179;27.301,27;29/10/2018;16:19
BA.SANTANDER;4,1340;2,81;4,1595;4,0520;25.065.652;103.137,81;29/10/2018;16:19
BANKIA;2,6740;-4,47;2,7900;2,6390;6.979.641;18.742,36;29/10/2018;16:19
BANKINTER;7,1240;2,27;7,1720;6,9460;1.149.378;8.126,87;29/10/2018;16:19
BBVA;5,1460;1,14;5,2010;5,0760;11.875.200;60.845,88;29/10/2018;16:19
CAIXABANK;3,5210;0,51;3,5640;3,4650;82.923.594;290.596,05;29/10/2018;16:19
CELLNEX;21,2500;1,14;21,4000;21,0600;106.010;2.250,48;29/10/2018;16:17
CIE AUTOMOT.;22,8800;4,09;23,1800;21,9600;221.116;5.037,35;29/10/2018;16:19
DIA;0,8000;0,65;0,8600;0,7970;9.706.493;7.992,62;29/10/2018;16:19
ENAGAS;23,4100;0,73;23,5100;23,1600;1.663.896;38.820,63;29/10/2018;16:19
ENDESA;18,5650;0,57;18,6350;18,4150;296.450;5.492,58;29/10/2018;16:18
FERROVIAL;17,7350;-0,92;17,8900;17,6650;613.018;10.896,20;29/10/2018;16:18
GRIFOLS CL.A;25,6900;9,88;27,0800;24,9200;1.852.077;47.892,99;29/10/2018;16:18
IAG;6,7440;2,21;6,8600;6,5880;1.409.531;9.572,50;29/10/2018;16:18
IBERDROLA;6,3100;0,10;6,3460;6,2800;6.805.289;42.972,70;29/10/2018;16:18
INDITEX;25,0400;1,17;25,2400;24,6800;11.190.238;280.031,54;29/10/2018;16:19
INDRA A;8,5200;1,61;8,6050;8,3750;233.142;1.989,65;29/10/2018;16:18
INM.COLONIAL;8,9000;-0,17;8,9500;8,8600;237.846;2.117,90;29/10/2018;16:18
MAPFRE;2,5700;2,59;2,5850;2,5190;2.014.845;5.152,86;29/10/2018;16:18
MEDIASET;5,7940;2,58;5,8200;5,5160;472.167;2.689,97;29/10/2018;16:19
MELIA HOTELS;9,0750;0,61;9,1650;8,9800;270.138;2.452,42;29/10/2018;16:19
MERLIN;11,2400;-0,22;11,3600;11,2400;377.872;4.269,05;29/10/2018;16:17
NATURGY;21,9600;0,18;22,1100;21,8000;655.341;14.405,82;29/10/2018;16:16
R.E.C.;18,4950;-0,94;18,7700;18,4000;670.803;12.429,43;29/10/2018;16:18
REPSOL;15,2700;1,09;15,4150;15,1750;2.171.322;33.195,33;29/10/2018;16:19
SIEMENS GAME;10,1250;2,92;10,1900;9,8380;860.723;8.650,17;29/10/2018;16:18
TEC.REUNIDAS;22,5600;-0,35;22,9300;22,2400;121.845;2.747,42;29/10/2018;16:18
TELEFONICA;7,0430;2,85;7,0610;6,8750;10.713.186;74.590,41;29/10/2018;16:19
VISCOFAN;50,1500;0,30;50,2500;48,0000;202.533;9.998,27;29/10/2018;16:19
